"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades"
"TCS","EQ","07-Jan-2016","       2381.60","       2370.00","       2382.90","       2360.00","       2379.00","       2371.25","       2367.71","    1599790","      37878.37","      29836"
"TCS","EQ","08-Jan-2016","       2371.25","       2385.00","       2407.35","       2372.50","       2400.80","       2397.60","       2396.08","     953772","      22853.14","      29435"
"TCS","EQ","11-Jan-2016","       2397.60","       2382.50","       2384.00","       2348.85","       2362.80","       2362.35","       2361.63","    1465114","      34600.59","      52084"
"TCS","EQ","12-Jan-2016","       2362.35","       2362.70","       2365.00","       2301.60","       2317.00","       2327.05","       2325.68","    1741297","      40496.99","      78442"
"TCS","EQ","13-Jan-2016","       2327.05","       2317.00","       2327.00","       2255.10","       2280.00","       2279.20","       2283.97","    2373046","      54199.74","     110813"
"TCS","EQ","14-Jan-2016","       2279.20","       2273.00","       2298.90","       2250.00","       2280.05","       2278.80","       2280.21","    1371026","      31262.31","      68867"
"TCS","EQ","15-Jan-2016","       2278.80","       2288.85","       2291.70","       2255.00","       2265.25","       2261.10","       2267.74","    1634704","      37070.78","      59507"
"TCS","EQ","18-Jan-2016","       2261.10","       2262.00","       2291.90","       2260.00","       2280.00","       2277.65","       2281.48","    1106961","      25255.15","      36247"
"TCS","EQ","19-Jan-2016","       2277.65","       2277.00","       2300.00","       2268.30","       2288.00","       2279.30","       2277.26","     483955","      11020.90","      37877"
"TCS","EQ","20-Jan-2016","       2279.30","       2273.80","       2285.00","       2243.00","       2280.00","       2280.10","       2268.32","     807977","      18327.52","      47824"
"TCS","EQ","21-Jan-2016","       2280.10","       2285.00","       2289.90","       2245.75","       2258.00","       2254.50","       2258.77","    1337768","      30217.16","      48506"
"TCS","EQ","22-Jan-2016","       2254.50","       2273.00","       2302.05","       2260.00","       2290.00","       2295.75","       2290.27","     671589","      15381.22","      65671"
"TCS","EQ","25-Jan-2016","       2295.75","       2301.90","       2339.00","       2291.50","       2301.70","       2304.65","       2317.64","     698780","      16195.18","      63300"
"TCS","EQ","27-Jan-2016","       2304.65","       2302.00","       2329.95","       2281.90","       2317.00","       2319.75","       2316.74","     813493","      18846.49","      37894"
"TCS","EQ","28-Jan-2016","       2319.75","       2315.50","       2348.90","       2308.05","       2345.00","       2331.20","       2334.21","    1553330","      36257.95","      52219"
"TCS","EQ","29-Jan-2016","       2331.20","       2358.70","       2400.00","       2335.05","       2386.10","       2391.30","       2372.42","    1117872","      26520.58","      51641"
"TCS","EQ","01-Feb-2016","       2391.30","       2391.10","       2412.95","       2359.00","       2395.35","       2402.70","       2402.94","     747637","      17965.24","      65836"
"TCS","EQ","02-Feb-2016","       2402.70","       2409.00","       2433.00","       2379.70","       2382.00","       2398.10","       2415.55","     737794","      17821.75","      50764"
"TCS","EQ","03-Feb-2016","       2398.10","       2387.50","       2429.90","       2360.30","       2424.80","       2416.30","       2402.39","     654346","      15719.96","      35587"
"TCS","EQ","04-Feb-2016","       2416.30","       2421.90","       2440.00","       2402.00","       2423.00","       2420.05","       2419.99","     625023","      15125.52","      42532"
"TCS","EQ","05-Feb-2016","       2420.05","       2408.10","       2439.95","       2408.10","       2424.00","       2421.95","       2425.99","     701498","      17018.26","      80411"
"TCS","EQ","08-Feb-2016","       2421.95","       2400.00","       2412.05","       2347.00","       2354.30","       2362.95","       2385.01","     531829","      12684.17","      29355"
"TCS","EQ","09-Feb-2016","       2362.95","       2333.60","       2333.60","       2255.60","       2280.70","       2281.40","       2276.64","    1244805","      28339.78","      74469"
"TCS","EQ","10-Feb-2016","       2281.40","       2275.00","       2289.90","       2258.10","       2283.00","       2268.80","       2271.48","     945366","      21473.78","      65549"
"TCS","EQ","11-Feb-2016","       2268.80","       2280.00","       2289.00","       2171.65","       2179.35","       2197.95","       2231.27","     981204","      21893.32","      73416"
"TCS","EQ","12-Feb-2016","       2197.95","       2200.00","       2243.40","       2164.00","       2226.30","       2226.60","       2214.47","    1086284","      24055.41","      85740"
"TCS","EQ","15-Feb-2016","       2226.60","       2250.00","       2306.85","       2240.00","       2262.00","       2269.15","       2278.07","    1239856","      28244.80","      62877"
"TCS","EQ","16-Feb-2016","       2269.15","       2266.00","       2282.00","       2243.00","       2262.50","       2265.55","       2260.28","     794351","      17954.56","      40886"
"TCS","EQ","17-Feb-2016","       2265.55","       2265.00","       2279.65","       2246.40","       2279.65","       2275.55","       2265.30","     792589","      17954.55","      36080"
"TCS","EQ","18-Feb-2016","       2275.55","       2285.00","       2319.75","       2278.00","       2312.10","       2315.85","       2301.08","     764570","      17593.39","      31762"
"TCS","EQ","19-Feb-2016","       2315.85","       2307.35","       2327.00","       2305.45","       2314.90","       2319.65","       2317.45","     439506","      10185.34","      60217"
"TCS","EQ","22-Feb-2016","       2319.65","       2320.25","       2343.00","       2305.00","       2325.00","       2315.90","       2330.06","     662442","      15435.33","      49580"
"TCS","EQ","23-Feb-2016","       2315.90","       2310.25","       2319.90","       2256.75","       2258.10","       2264.00","       2277.26","     653426","      14880.24","      42218"
"TCS","EQ","24-Feb-2016","       2264.00","       2262.45","       2262.45","       2201.20","       2216.00","       2210.95","       2230.36","     829664","      18504.52","      38290"
"TCS","EQ","25-Feb-2016","       2210.95","       2219.80","       2228.00","       2185.65","       2224.20","       2212.85","       2204.85","     915278","      20180.49","      45678"
"TCS","EQ","26-Feb-2016","       2212.85","       2229.70","       2256.90","       2199.60","       2219.90","       2210.50","       2218.03","     768768","      17051.54","      37353"
"TCS","EQ","29-Feb-2016","       2210.50","       2237.00","       2237.00","       2115.00","       2172.00","       2176.80","       2184.95","    1095859","      23943.99","      47672"
"TCS","EQ","01-Mar-2016","       2176.80","       2193.00","       2285.10","       2162.00","       2281.00","       2276.65","       2257.79","     999880","      22575.17","      50318"
